('四川百利源园林景观工程有限公司', '002105291248659787')
('辽宁中岩建设有限公司', '002105291248691033')
('吉林万佳建设有限公司', '002105291305843026')
('致兴国际钢结构（北京）有限公司', '002105291240504389')
('四川创华庆建筑工程有限公司', '002105291241615105')
('河北任航建设工程有限公司', '002105291322005186')
('上海全强防水工程有限公司', '002105291255776405')
('山西思成建筑装饰设计工程有限公司', '002105291258805664')
('永嘉县中正建设有限公司', '002105291241613608')
('江西雷康建设工程有限公司', '002105291255772115')
('海南驰俊绿色建筑科技有限公司', '002107011915129624')
('江苏苏美达集团有限公司', '002105291240539955')
('北京兄弟团安全防范技术有限公司', '002105291328045336')
('重庆洁业环境治理开发有限公司', '002105291241587788')
('四川创恒建筑劳务有限公司', '002105291248670985')
('四川博天建筑工程设计有限公司', '002105291240531637')
('北京华邺天成建筑工程有限公司', '002105291241621896')
('江苏宇业永兴建筑科技有限公司', '002105291249712025')
('云南建投第六建设有限公司', '002105291305857140')
('河北盛佳地质勘查有限公司', '002105291328031449')
('江西兴安电力建设有限公司', '002105291328045045')
('山西力发建筑工程有限公司', '002105291313944075')
('北京鸿利博雅建筑工程有限公司', '002105291306882013')
('黑龙江国兴伟业市政建筑工程有限公司', '002105291328059414')
('仪征嘉园混凝土有限公司', '002105291240490099')
('山西斯可昕电力科技有限公司', '002105291313949352')
('江苏玮锦市政工程有限公司', '002105291240561864')
('江苏昺昇建设工程有限公司', '002105291328024539')
('福建省闽泰工程咨询有限公司', '002105291255774021')
('北京隆津宸环保工程科技有限公司', '002105291259821268')
('河南晟卓建设工程有限公司', '002105291240519799')
('北京中富恒通工程有限公司', '002105291328036021')
('山东送变电工程有限公司', '002105291248648610')
('八达防腐安装集团有限公司', '002105291240527398')
('四川扬武建筑工程有限公司', '002105291258796693')
('温州玖峰建设有限公司', '002105291322988932')
('甘肃华隆腾盛建设工程有限公司', '002105291322995218')
('河北金岱建筑装饰工程有限公司', '002105291241596341')
('四川森洲建筑工程有限公司', '002105291259834004')
('辽宁天时建设发展有限公司', '002105291254727991')
('洛阳东润混凝土有限公司', '002105291240474562')
('河南省厚双建设工程有限公司', '002107091906138592')
('四川泰兴泰源装饰工程有限公司', '002105291242634702')
('天津市鑫琦环保科技有限公司', '002105291313917967')
('江苏昌达建设工程有限公司', '002105291328032919')
('江苏宏际建设工程有限公司', '002105291249701535')
('江苏华洺建设工程有限公司', '002105291328045186')
('四川佳良盛皓建筑工程有限公司', '002105291259831518')
('湖北岚裴建设工程有限公司', '002112071940231719')
('四川合鸿升建筑工程有限公司', '002105291248680301')
('南阳市海恒建筑工程有限公司', '002105291258792772')
('河北满沅电力安装工程有限公司', '002105291328052158')
