('四川中创恒源环保科技有限公司', '002105291241564936')
('广东旭昊建设工程有限公司', '002107141920143655')
('中弘鑫盛（北京）建筑工程有限责任公司', '002105291258787391')
('浙江华建宏业建设发展有限公司', '002108301913176348')
('江苏鑫品堡诚装饰有限公司', '002105291248668795')
('浙江中优建工科技集团有限公司', '002105291313954284')
('四川豪杰创业安装工程有限公司', '002105291249703942')
('青岛友发建筑劳务有限公司', '002105291240494322')
('上海正铭建筑劳务服务有限公司', '002105291322983590')
('威海地质工程勘察院有限公司', '002105291239452148')
('宁夏飞驰电力工程有限公司', '002106291912126359')
('四川锦荣鑫建设工程有限公司', '002105291254763507')
('南通富安建设劳务有限公司', '002105291239454824')
('四川飞优特建筑工程有限公司', '002105291312916136')
('河北中淮建设工程有限公司', '002105291254746180')
('中广大昌（北京）建设有限公司', '002108101903165606')
('中控高科（北京）安全技术有限公司', '002105291259817790')
('四川鑫茂汇建筑工程有限公司', '002105291254728808')
('陕西顺煜公路勘察设计有限公司', '002211212023432048')
('陕西顾念夏建筑工程有限公司', '002105291255767073')
('商丘齐福祥装饰工程有限公司', '002105291240491665')
('湖南合欢装饰工程有限公司', '002105291249713108')
('北京瑞茂金属装饰有限公司', '002201302018267720')
('江苏展界建设工程有限公司', '002105291328052017')
('四川辰矿建筑劳务有限公司', '002105291305876891')
('上海缔纷特诺发建筑工程有限公司', '002105291312907002')
('江西聚鸿环保防腐设备有限公司', '002105291313947522')
('海南霖海建设工程有限公司', '002106011818102192')
('华东荣大（北京）建设有限公司', '002105291241606794')
('吉林建林建设有限责任公司', '002105291305843301')
('北京中广久诚安装工程有限公司', '002105291258801424')
('上海桂橙装饰工程有限公司', '002105291249709430')
('天津市尚德建筑工程有限公司', '002105291259811725')
('陕西太合工程技术服务有限责任公司', '002105291306882091')
('北京跃盛嘉禾建筑有限公司', '002212302027451380')
('河北博尊建筑工程有限公司', '002105291259829374')
('乌鲁木齐宏和源建筑工程有限公司', '002105291240469027')
('正元地理信息集团股份有限公司', '002105291329078994')
('广东国坚骏建设有限公司', '002105291313955520')
('江西三凯建设工程有限公司', '002105291313927673')
('云南宝翔建设工程有限公司', '002105291328034410')
('新乡市宏达混凝土有限公司', '002105291239458391')
('湖南天道莲花建设工程有限公司', '002105291241566636')
('江西省福欣路桥工程有限公司', '002105291241617837')
('铁工建设工程江苏有限公司', '002105291336098009')
('沈阳通顺电气工程安装有限公司', '002105291240494149')
('浙江喜玛建设科技有限公司', '002204142012302217')
('四川春涧建设工程有限公司', '002105291254729373')
('河南麒越混凝土有限公司', '002105291239454153')
('重庆城建空调设备安装工程有限公司', '002105291255770676')
('广东昊佳建设工程有限公司', '002105291305864728')
('安裕（北京）建设工程有限公司', '002105291305850396')
('北京筑盈建设工程有限公司', '002105291306879747')
('哈尔滨圣轩建设工程有限公司', '002105291241604256')
('枣庄市恒生桩基工程有限公司', '002105291254734482')
('河北健特新能源发展有限公司', '002105291328026816')
